country,name,district,flag
RU-AL,Республика Алтай,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Altai_Republic.svg/1920px-Flag_of_Altai_Republic.svg.png
RU-ALT,Алтайский край,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Altai_Krai.svg/1920px-Flag_of_Altai_Krai.svg.png
RU-AMU,Амурская область,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_Amur_Oblast.svg/1920px-Flag_of_Amur_Oblast.svg.png
RU-ARK,Архангельская область,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Arkhangelsk_Oblast.svg/1920px-Flag_of_Arkhangelsk_Oblast.svg.png
RU-AST,Астраханская область,Южный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Astrakhan_Oblast.svg/1280px-Flag_of_Astrakhan_Oblast.svg.png
RU-BEL,Белгородская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Flag_of_Belgorod_Oblast.svg/1920px-Flag_of_Belgorod_Oblast.svg.png
RU-BRY,Брянская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Flag_of_Bryansk_Oblast.svg/1920px-Flag_of_Bryansk_Oblast.svg.png
RU-CE,Чеченская Республика,Северо-Кавказский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_the_Chechen_Republic.svg/1920px-Flag_of_the_Chechen_Republic.svg.png
RU-CHE,Челябинская область,Уральский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Chelyabinsk_Oblast.svg/1920px-Flag_of_Chelyabinsk_Oblast.svg.png
RU-CHU,Чукотский АО,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Chukotka.svg/1920px-Flag_of_Chukotka.svg.png
RU-KHA,Хабаровский край,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Khabarovsk_Krai.svg/1920px-Flag_of_Khabarovsk_Krai.svg.png
RU-KHM,Ханты-Мансийский АО-Югра,Уральский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_Yugra.svg/1920px-Flag_of_Yugra.svg.png
RU-IN,Республика Ингушетия,Северо-Кавказский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Ingushetia.svg/1920px-Flag_of_Ingushetia.svg.png
RU-IRK,Иркутская область,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_of_Irkutsk_Oblast.svg/1920px-Flag_of_Irkutsk_Oblast.svg.png
RU-IVA,Ивановская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Ivanovo_Oblast.svg/1920px-Flag_of_Ivanovo_Oblast.svg.png
RU-YEV,Еврейская авт. область,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Flag_of_the_Jewish_Autonomous_Oblast.svg/1920px-Flag_of_the_Jewish_Autonomous_Oblast.svg.png
RU-KGD,Калининградская область,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_Kaliningrad_Oblast.svg/1920px-Flag_of_Kaliningrad_Oblast.svg.png
RU-KLU,Калужская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Kaluga_Oblast.svg/1920px-Flag_of_Kaluga_Oblast.svg.png
RU-KAM,Камчатский край,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Kamchatka_Krai.svg/1920px-Flag_of_Kamchatka_Krai.svg.png
RU-KEM,Кемеровская область,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Kemerovo_oblast.svg/1920px-Flag_of_Kemerovo_oblast.svg.png
RU-KIR,Кировская область,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Kirov_Oblast.svg/1920px-Flag_of_Kirov_Oblast.svg.png
RU-KO,Республика Коми,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Komi.svg/1920px-Flag_of_Komi.svg.png
RU-KOS,Костромская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Kostroma_Oblast.svg/1920px-Flag_of_Kostroma_Oblast.svg.png
RU-KDA,Краснодарский край,Южный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Krasnodar_Krai.svg/1920px-Flag_of_Krasnodar_Krai.svg.png
RU-KYA,Красноярский край,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Flag_of_Krasnoyarsk_Krai.svg/1920px-Flag_of_Krasnoyarsk_Krai.svg.png
RU-KGN,Курганская область,Уральский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Kurgan_Oblast.svg/1920px-Flag_of_Kurgan_Oblast.svg.png
RU-KRS,Курская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_Kursk_Oblast.svg/1920px-Flag_of_Kursk_Oblast.svg.png
RU-LEN,Ленинградская область,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Leningrad_Oblast.svg/1920px-Flag_of_Leningrad_Oblast.svg.png
RU-LIP,Липецкая область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Lipetsk_Oblast.svg/1920px-Flag_of_Lipetsk_Oblast.svg.png
RU-MAG,Магаданская область,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Magadan_Oblast.svg/1920px-Flag_of_Magadan_Oblast.svg.png
RU-MOW,г. Москва,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Moscow%2C_Russia.svg/1920px-Flag_of_Moscow%2C_Russia.svg.png
RU-MOS,Московская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Moscow_oblast.svg/1280px-Flag_of_Moscow_oblast.svg.png
RU-MUR,Мурманская область,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Flag_of_Murmansk_Oblast.svg/1280px-Flag_of_Murmansk_Oblast.svg.png
RU-NEN,Ненецкий АО,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Flag_of_Nenets_Autonomous_District.svg/1280px-Flag_of_Nenets_Autonomous_District.svg.png
RU-NIZ,Нижегородская область,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Nizhny_Novgorod_Region.svg/1280px-Flag_of_Nizhny_Novgorod_Region.svg.png
RU-NGR,Новгородская область,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Novgorod_Oblast.svg/1280px-Flag_of_Novgorod_Oblast.svg.png
RU-NVS,Новосибирская область,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Flag_of_Novosibirsk_oblast.svg/1280px-Flag_of_Novosibirsk_oblast.svg.png
RU-OMS,Омская область,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Omsk_Oblast.svg/1280px-Flag_of_Omsk_Oblast.svg.png
RU-ORL,Орловская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Oryol_Oblast.svg/1280px-Flag_of_Oryol_Oblast.svg.png
RU-ORE,Оренбургская область,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Flag_of_Orenburg_Oblast.svg/1280px-Flag_of_Orenburg_Oblast.svg.png
RU-PNZ,Пензенская область,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Penza_Oblast.svg/1920px-Flag_of_Penza_Oblast.svg.png
RU-PER,Пермский край,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Perm_Krai.svg/1280px-Flag_of_Perm_Krai.svg.png
RU-PRI,Приморский край,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Primorsky_Krai.svg/1280px-Flag_of_Primorsky_Krai.svg.png
RU-PSK,Псковская область,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Pskov_Oblast.svg/1280px-Flag_of_Pskov_Oblast.svg.png
RU-AD,Республика Адыгея,Южный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Adygea.svg/1920px-Flag_of_Adygea.svg.png
RU-BA,Республика Башкортостан,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Bashkortostan.svg/1280px-Flag_of_Bashkortostan.svg.png
RU-BU,Республика Бурятия,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Buryatia.svg/1920px-Flag_of_Buryatia.svg.png
RU-CU,Чувашская Республика,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Chuvashia.svg/1920px-Flag_of_Chuvashia.svg.png
UA-43,Республика Крым,Южный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Crimea.svg/1920px-Flag_of_Crimea.svg.png
RU-DA,Республика Дагестан,Северо-Кавказский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_Dagestan.svg/1280px-Flag_of_Dagestan.svg.png
RU-KK,Республика Хакасия,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Khakassia.svg/1920px-Flag_of_Khakassia.svg.png
RU-KB,Кабардино-Балкарская Респ.,Северо-Кавказский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Flag_of_Kabardino-Balkaria.svg/1280px-Flag_of_Kabardino-Balkaria.svg.png
RU-KL,Республика Калмыкия,Южный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Kalmykia.svg/1920px-Flag_of_Kalmykia.svg.png
RU-KC,Карачаево-Черкесская Респ.,Северо-Кавказский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Karachay-Cherkessia.svg/1920px-Flag_of_Karachay-Cherkessia.svg.png
RU-KR,Республика Карелия,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Karelia.svg/1280px-Flag_of_Karelia.svg.png
RU-ME,Республика Марий Эл,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Mari_El.svg/1280px-Flag_of_Mari_El.svg.png
RU-MO,Республика Мордовия,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Mordovia.svg/1280px-Flag_of_Mordovia.svg.png
RU-SE,Респ. Сев. Осетия-Алания,Северо-Кавказский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_North_Ossetia.svg/1920px-Flag_of_North_Ossetia.svg.png
RU-TA,Республика Татарстан,Уральский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Tatarstan.svg/1920px-Flag_of_Tatarstan.svg.png
RU-TY,Республика Тыва,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Tuva.svg/1280px-Flag_of_Tuva.svg.png
RU-UD,Удмуртская Республика,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Udmurtia.svg/1920px-Flag_of_Udmurtia.svg.png
RU-ROS,Ростовская область,Южный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Rostov_Oblast.svg/1280px-Flag_of_Rostov_Oblast.svg.png
RU-RYA,Рязанская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Ryazan_Oblast.svg/1280px-Flag_of_Ryazan_Oblast.svg.png
RU-SA,Республика Саха (Якутия),Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Sakha.svg/1920px-Flag_of_Sakha.svg.png
RU-SPE,г. Санкт-Петербург,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Saint_Petersburg.svg/1280px-Flag_of_Saint_Petersburg.svg.png
RU-SAK,Сахалинская область,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Flag_of_Sakhalin_Oblast.svg/1280px-Flag_of_Sakhalin_Oblast.svg.png
RU-SAM,Самарская область,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_Samara_Oblast.svg/1280px-Flag_of_Samara_Oblast.svg.png
RU-SAR,Саратовская область,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Saratov_Oblast.svg/1280px-Flag_of_Saratov_Oblast.svg.png
UA-40,г. Севастополь,Южный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_of_Sevastopol.svg/1280px-Flag_of_Sevastopol.svg.png
RU-SMO,Смоленская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Smolensk_oblast.svg/1280px-Flag_of_Smolensk_oblast.svg.png
RU-STA,Ставропольский край,Северо-Кавказский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Stavropol_Krai.svg/1280px-Flag_of_Stavropol_Krai.svg.png
RU-SVE,Свердловская область,Уральский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Sverdlovsk_Oblast.svg/1280px-Flag_of_Sverdlovsk_Oblast.svg.png
RU-TAM,Тамбовская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Flag_of_Tambov_Oblast.svg/1280px-Flag_of_Tambov_Oblast.svg.png
RU-TOM,Томская область,Сибирский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Tomsk_Oblast.svg/1280px-Flag_of_Tomsk_Oblast.svg.png
RU-TUL,Тульская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Tula_Oblast.svg/1280px-Flag_of_Tula_Oblast.svg.png
RU-TYU,Тюменская область,Уральский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Tyumen_Oblast.svg/1280px-Flag_of_Tyumen_Oblast.svg.png
RU-TVE,Тверская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Tver_Oblast.svg/1280px-Flag_of_Tver_Oblast.svg.png
RU-ULY,Ульяновская область,Приволжский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Flag_of_Ulyanovsk_Oblast.svg/1280px-Flag_of_Ulyanovsk_Oblast.svg.png
RU-VLA,Владимирская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Vladimirskaya_Oblast.svg/1280px-Flag_of_Vladimirskaya_Oblast.svg.png
RU-VGG,Волгоградская область,Южный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Volgograd_Oblast.svg/1280px-Flag_of_Volgograd_Oblast.svg.png
RU-VLG,Вологодская область,Северо-Западный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_Vologda_oblast.svg/1280px-Flag_of_Vologda_oblast.svg.png
RU-VOR,Воронежская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Voronezh_Oblast.svg/1280px-Flag_of_Voronezh_Oblast.svg.png
RU-YAN,Ямало-Ненецкий АО,Уральский ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Yamal-Nenets_Autonomous_District.svg/1280px-Flag_of_Yamal-Nenets_Autonomous_District.svg.png
RU-YAR,Ярославская область,Центральный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Yaroslavl_Oblast.svg/1280px-Flag_of_Yaroslavl_Oblast.svg.png
RU-ZAB,Забайкальский край,Дальневосточный ФО,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Zabaykalsky_Krai.svg/1280px-Flag_of_Zabaykalsky_Krai.svg.png
