date,country,confirmed,deaths
2020-04-20,RU-AD,100,2
2020-04-21,RU-AD,108,2
2020-04-22,RU-AD,113,3
2020-04-23,RU-AD,114,3
2020-04-24,RU-AD,117,3
2020-04-25,RU-AD,119,3
2020-04-26,RU-AD,134,3
2020-04-20,RU-AL,4,0
2020-04-21,RU-AL,8,0
2020-04-22,RU-AL,8,0
2020-04-23,RU-AL,9,0
2020-04-24,RU-AL,9,0
2020-04-25,RU-AL,14,0
2020-04-26,RU-AL,15,0
2020-04-20,RU-ALT,84,0
2020-04-21,RU-ALT,127,0
2020-04-22,RU-ALT,136,0
2020-04-23,RU-ALT,144,0
2020-04-24,RU-ALT,152,0
2020-04-25,RU-ALT,215,1
2020-04-26,RU-ALT,283,2
2020-04-20,RU-AMU,20,0
2020-04-21,RU-AMU,20,0
2020-04-22,RU-AMU,23,0
2020-04-23,RU-AMU,25,0
2020-04-24,RU-AMU,28,0
2020-04-25,RU-AMU,33,0
2020-04-26,RU-AMU,36,0
2020-04-20,RU-ARK,114,1
2020-04-21,RU-ARK,118,1
2020-04-22,RU-ARK,120,1
2020-04-23,RU-ARK,123,1
2020-04-24,RU-ARK,137,1
2020-04-25,RU-ARK,147,1
2020-04-26,RU-ARK,167,1
2020-04-20,RU-AST,136,3
2020-04-21,RU-AST,137,3
2020-04-22,RU-AST,148,3
2020-04-23,RU-AST,165,3
2020-04-24,RU-AST,186,3
2020-04-25,RU-AST,211,4
2020-04-26,RU-AST,277,4
2020-04-20,RU-BA,297,14
2020-04-21,RU-BA,371,14
2020-04-22,RU-BA,396,14
2020-04-23,RU-BA,422,14
2020-04-24,RU-BA,455,14
2020-04-25,RU-BA,490,14
2020-04-26,RU-BA,527,14
2020-04-20,RU-BEL,112,2
2020-04-21,RU-BEL,122,2
2020-04-22,RU-BEL,144,2
2020-04-23,RU-BEL,176,2
2020-04-24,RU-BEL,202,2
2020-04-25,RU-BEL,221,2
2020-04-26,RU-BEL,242,2
2020-04-20,RU-BRY,321,1
2020-04-21,RU-BRY,350,1
2020-04-22,RU-BRY,399,1
2020-04-23,RU-BRY,459,2
2020-04-24,RU-BRY,494,2
2020-04-25,RU-BRY,521,2
2020-04-26,RU-BRY,599,3
2020-04-20,RU-BU,115,2
2020-04-21,RU-BU,125,2
2020-04-22,RU-BU,153,2
2020-04-23,RU-BU,163,2
2020-04-24,RU-BU,167,2
2020-04-25,RU-BU,180,2
2020-04-26,RU-BU,186,2
2020-04-20,RU-CE,264,5
2020-04-21,RU-CE,303,5
2020-04-22,RU-CE,323,6
2020-04-23,RU-CE,347,6
2020-04-24,RU-CE,365,6
2020-04-25,RU-CE,387,6
2020-04-26,RU-CE,409,6
2020-04-20,RU-CHE,78,0
2020-04-21,RU-CHE,92,0
2020-04-22,RU-CHE,102,0
2020-04-23,RU-CHE,111,0
2020-04-24,RU-CHE,168,0
2020-04-25,RU-CHE,240,0
2020-04-26,RU-CHE,302,0
2020-04-20,RU-CHU,2,0
2020-04-21,RU-CHU,2,0
2020-04-22,RU-CHU,6,0
2020-04-23,RU-CHU,6,0
2020-04-24,RU-CHU,11,0
2020-04-25,RU-CHU,12,0
2020-04-26,RU-CHU,15,0
2020-04-20,RU-CU,225,2
2020-04-21,RU-CU,235,5
2020-04-22,RU-CU,262,5
2020-04-23,RU-CU,305,5
2020-04-24,RU-CU,348,5
2020-04-25,RU-CU,383,7
2020-04-26,RU-CU,421,8
2020-04-20,RU-DA,331,9
2020-04-21,RU-DA,371,11
2020-04-22,RU-DA,417,11
2020-04-23,RU-DA,454,11
2020-04-24,RU-DA,567,11
2020-04-25,RU-DA,724,11
2020-04-26,RU-DA,827,11
2020-04-20,RU-IN,308,5
2020-04-21,RU-IN,354,9
2020-04-22,RU-IN,397,12
2020-04-23,RU-IN,436,13
2020-04-24,RU-IN,474,13
2020-04-25,RU-IN,515,13
2020-04-26,RU-IN,552,13
2020-04-20,RU-IRK,65,2
2020-04-21,RU-IRK,68,3
2020-04-22,RU-IRK,75,3
2020-04-23,RU-IRK,75,3
2020-04-24,RU-IRK,80,3
2020-04-25,RU-IRK,85,3
2020-04-26,RU-IRK,87,4
2020-04-20,RU-IVA,203,2
2020-04-21,RU-IVA,213,2
2020-04-22,RU-IVA,225,2
2020-04-23,RU-IVA,239,2
2020-04-24,RU-IVA,247,2
2020-04-25,RU-IVA,263,2
2020-04-26,RU-IVA,274,2
2020-04-20,RU-KAM,41,0
2020-04-21,RU-KAM,48,0
2020-04-22,RU-KAM,63,0
2020-04-23,RU-KAM,78,0
2020-04-24,RU-KAM,84,0
2020-04-25,RU-KAM,87,0
2020-04-26,RU-KAM,110,0
2020-04-20,RU-KB,152,0
2020-04-21,RU-KB,170,1
2020-04-22,RU-KB,193,1
2020-04-23,RU-KB,218,1
2020-04-24,RU-KB,243,1
2020-04-25,RU-KB,272,1
2020-04-26,RU-KB,300,1
2020-04-20,RU-KC,87,0
2020-04-21,RU-KC,106,0
2020-04-22,RU-KC,145,0
2020-04-23,RU-KC,169,0
2020-04-24,RU-KC,194,0
2020-04-25,RU-KC,240,0
2020-04-26,RU-KC,282,1
2020-04-20,RU-KDA,417,8
2020-04-21,RU-KDA,461,8
2020-04-22,RU-KDA,481,11
2020-04-23,RU-KDA,539,14
2020-04-24,RU-KDA,623,16
2020-04-25,RU-KDA,707,18
2020-04-26,RU-KDA,780,19
2020-04-20,RU-KEM,41,1
2020-04-21,RU-KEM,47,1
2020-04-22,RU-KEM,56,1
2020-04-23,RU-KEM,67,1
2020-04-24,RU-KEM,76,1
2020-04-25,RU-KEM,82,1
2020-04-26,RU-KEM,103,1
2020-04-20,RU-KGD,138,1
2020-04-21,RU-KGD,144,1
2020-04-22,RU-KGD,163,1
2020-04-23,RU-KGD,171,1
2020-04-24,RU-KGD,189,1
2020-04-25,RU-KGD,210,1
2020-04-26,RU-KGD,236,3
2020-04-20,RU-KGN,13,0
2020-04-21,RU-KGN,15,0
2020-04-22,RU-KGN,15,0
2020-04-23,RU-KGN,20,0
2020-04-24,RU-KGN,22,0
2020-04-25,RU-KGN,27,0
2020-04-26,RU-KGN,29,0
2020-04-20,RU-KHA,215,5
2020-04-21,RU-KHA,243,5
2020-04-22,RU-KHA,272,5
2020-04-23,RU-KHA,310,5
2020-04-24,RU-KHA,351,5
2020-04-25,RU-KHA,379,5
2020-04-26,RU-KHA,406,5
2020-04-20,RU-KHM,188,0
2020-04-21,RU-KHM,197,0
2020-04-22,RU-KHM,203,1
2020-04-23,RU-KHM,215,1
2020-04-24,RU-KHM,217,1
2020-04-25,RU-KHM,233,1
2020-04-26,RU-KHM,274,1
2020-04-20,RU-KIR,169,2
2020-04-21,RU-KIR,188,2
2020-04-22,RU-KIR,216,3
2020-04-23,RU-KIR,240,3
2020-04-24,RU-KIR,276,3
2020-04-25,RU-KIR,316,3
2020-04-26,RU-KIR,362,3
2020-04-20,RU-KK,76,0
2020-04-21,RU-KK,84,0
2020-04-22,RU-KK,87,0
2020-04-23,RU-KK,99,0
2020-04-24,RU-KK,102,1
2020-04-25,RU-KK,151,2
2020-04-26,RU-KK,176,2
2020-04-20,RU-KL,77,3
2020-04-21,RU-KL,77,3
2020-04-22,RU-KL,88,3
2020-04-23,RU-KL,94,3
2020-04-24,RU-KL,104,3
2020-04-25,RU-KL,122,3
2020-04-26,RU-KL,146,3
2020-04-20,RU-KLU,228,4
2020-04-21,RU-KLU,258,6
2020-04-22,RU-KLU,330,8
2020-04-23,RU-KLU,383,8
2020-04-24,RU-KLU,444,8
2020-04-25,RU-KLU,513,8
2020-04-26,RU-KLU,583,8
2020-04-20,RU-KO,491,3
2020-04-21,RU-KO,507,3
2020-04-22,RU-KO,527,4
2020-04-23,RU-KO,542,4
2020-04-24,RU-KO,553,4
2020-04-25,RU-KO,561,4
2020-04-26,RU-KO,578,5
2020-04-20,RU-KOS,70,2
2020-04-21,RU-KOS,81,2
2020-04-22,RU-KOS,88,2
2020-04-23,RU-KOS,104,2
2020-04-24,RU-KOS,120,2
2020-04-25,RU-KOS,137,3
2020-04-26,RU-KOS,148,3
2020-04-20,RU-KR,27,0
2020-04-21,RU-KR,30,0
2020-04-22,RU-KR,30,0
2020-04-23,RU-KR,35,0
2020-04-24,RU-KR,37,0
2020-04-25,RU-KR,42,0
2020-04-26,RU-KR,44,0
2020-04-20,RU-KRS,220,2
2020-04-21,RU-KRS,242,3
2020-04-22,RU-KRS,276,3
2020-04-23,RU-KRS,308,3
2020-04-24,RU-KRS,345,3
2020-04-25,RU-KRS,389,4
2020-04-26,RU-KRS,456,4
2020-04-20,RU-KYA,306,2
2020-04-21,RU-KYA,370,2
2020-04-22,RU-KYA,392,2
2020-04-23,RU-KYA,427,5
2020-04-24,RU-KYA,449,5
2020-04-25,RU-KYA,467,5
2020-04-26,RU-KYA,508,5
2020-04-20,RU-LEN,454,0
2020-04-21,RU-LEN,496,0
2020-04-22,RU-LEN,537,0
2020-04-23,RU-LEN,576,0
2020-04-24,RU-LEN,615,0
2020-04-25,RU-LEN,658,0
2020-04-26,RU-LEN,700,0
2020-04-20,RU-LIP,169,1
2020-04-21,RU-LIP,189,2
2020-04-22,RU-LIP,213,2
2020-04-23,RU-LIP,238,2
2020-04-24,RU-LIP,263,2
2020-04-25,RU-LIP,284,2
2020-04-26,RU-LIP,306,2
2020-04-20,RU-MAG,63,0
2020-04-21,RU-MAG,65,0
2020-04-22,RU-MAG,67,0
2020-04-23,RU-MAG,76,0
2020-04-24,RU-MAG,78,0
2020-04-25,RU-MAG,87,0
2020-04-26,RU-MAG,88,0
2020-04-20,RU-ME,291,1
2020-04-21,RU-ME,311,1
2020-04-22,RU-ME,333,1
2020-04-23,RU-ME,348,1
2020-04-24,RU-ME,377,1
2020-04-25,RU-ME,407,1
2020-04-26,RU-ME,431,3
2020-04-20,RU-MO,293,1
2020-04-21,RU-MO,327,1
2020-04-22,RU-MO,357,1
2020-04-23,RU-MO,385,1
2020-04-24,RU-MO,424,2
2020-04-25,RU-MO,469,2
2020-04-26,RU-MO,518,2
2020-04-20,RU-MOS,5241,49
2020-04-21,RU-MOS,5959,49
2020-04-22,RU-MOS,6590,56
2020-04-23,RU-MOS,7278,56
2020-04-24,RU-MOS,7889,66
2020-04-25,RU-MOS,8494,69
2020-04-26,RU-MOS,9070,71
2020-04-20,RU-MOW,26350,204
2020-04-21,RU-MOW,29433,233
2020-04-22,RU-MOW,31981,261
2020-04-23,RU-MOW,33940,288
2020-04-24,RU-MOW,36897,325
2020-04-25,RU-MOW,39509,366
2020-04-26,RU-MOW,42480,404
2020-04-20,RU-MUR,400,3
2020-04-21,RU-MUR,435,3
2020-04-22,RU-MUR,506,3
2020-04-23,RU-MUR,603,3
2020-04-24,RU-MUR,663,4
2020-04-25,RU-MUR,856,4
2020-04-26,RU-MUR,961,4
2020-04-20,RU-NEN,1,0
2020-04-21,RU-NEN,1,0
2020-04-22,RU-NEN,1,0
2020-04-23,RU-NEN,1,0
2020-04-24,RU-NEN,1,0
2020-04-25,RU-NEN,1,0
2020-04-26,RU-NEN,2,0
2020-04-20,RU-NGR,108,1
2020-04-21,RU-NGR,114,1
2020-04-22,RU-NGR,140,1
2020-04-23,RU-NGR,157,1
2020-04-24,RU-NGR,171,1
2020-04-25,RU-NGR,186,1
2020-04-26,RU-NGR,211,2
2020-04-20,RU-NIZ,759,5
2020-04-21,RU-NIZ,860,5
2020-04-22,RU-NIZ,929,6
2020-04-23,RU-NIZ,1002,7
2020-04-24,RU-NIZ,1096,8
2020-04-25,RU-NIZ,1214,8
2020-04-26,RU-NIZ,1367,8
2020-04-20,RU-NVS,132,3
2020-04-21,RU-NVS,135,4
2020-04-22,RU-NVS,151,4
2020-04-23,RU-NVS,168,4
2020-04-24,RU-NVS,209,4
2020-04-25,RU-NVS,247,4
2020-04-26,RU-NVS,305,4
2020-04-20,RU-OMS,36,0
2020-04-21,RU-OMS,41,0
2020-04-22,RU-OMS,45,0
2020-04-23,RU-OMS,53,0
2020-04-24,RU-OMS,54,0
2020-04-25,RU-OMS,58,1
2020-04-26,RU-OMS,62,2
2020-04-20,RU-ORE,184,2
2020-04-21,RU-ORE,226,2
2020-04-22,RU-ORE,254,2
2020-04-23,RU-ORE,277,2
2020-04-24,RU-ORE,305,2
2020-04-25,RU-ORE,361,2
2020-04-26,RU-ORE,377,2
2020-04-20,RU-ORL,175,1
2020-04-21,RU-ORL,198,1
2020-04-22,RU-ORL,238,2
2020-04-23,RU-ORL,249,2
2020-04-24,RU-ORL,296,2
2020-04-25,RU-ORL,321,2
2020-04-26,RU-ORL,363,2
2020-04-20,RU-PER,215,3
2020-04-21,RU-PER,237,3
2020-04-22,RU-PER,266,3
2020-04-23,RU-PER,287,4
2020-04-24,RU-PER,318,4
2020-04-25,RU-PER,373,4
2020-04-26,RU-PER,434,4
2020-04-20,RU-PNZ,165,5
2020-04-21,RU-PNZ,180,5
2020-04-22,RU-PNZ,196,5
2020-04-23,RU-PNZ,211,5
2020-04-24,RU-PNZ,232,5
2020-04-25,RU-PNZ,255,6
2020-04-26,RU-PNZ,261,6
2020-04-20,RU-PRI,97,2
2020-04-21,RU-PRI,104,2
2020-04-22,RU-PRI,166,2
2020-04-23,RU-PRI,185,2
2020-04-24,RU-PRI,220,2
2020-04-25,RU-PRI,254,2
2020-04-26,RU-PRI,278,3
2020-04-20,RU-PSK,52,6
2020-04-21,RU-PSK,58,6
2020-04-22,RU-PSK,62,6
2020-04-23,RU-PSK,66,6
2020-04-24,RU-PSK,81,6
2020-04-25,RU-PSK,93,6
2020-04-26,RU-PSK,110,7
2020-04-20,RU-ROS,292,0
2020-04-21,RU-ROS,346,0
2020-04-22,RU-ROS,398,0
2020-04-23,RU-ROS,469,0
2020-04-24,RU-ROS,533,0
2020-04-25,RU-ROS,584,0
2020-04-26,RU-ROS,649,1
2020-04-20,RU-RYA,289,0
2020-04-21,RU-RYA,316,0
2020-04-22,RU-RYA,392,0
2020-04-23,RU-RYA,429,0
2020-04-24,RU-RYA,475,0
2020-04-25,RU-RYA,539,0
2020-04-26,RU-RYA,602,0
2020-04-20,RU-SA,107,0
2020-04-21,RU-SA,111,0
2020-04-22,RU-SA,116,0
2020-04-23,RU-SA,128,0
2020-04-24,RU-SA,137,0
2020-04-25,RU-SA,141,0
2020-04-26,RU-SA,152,0
2020-04-20,RU-SAK,19,0
2020-04-21,RU-SAK,19,0
2020-04-22,RU-SAK,19,0
2020-04-23,RU-SAK,19,0
2020-04-24,RU-SAK,20,0
2020-04-25,RU-SAK,20,0
2020-04-26,RU-SAK,20,0
2020-04-20,RU-SAM,95,0
2020-04-21,RU-SAM,103,0
2020-04-22,RU-SAM,115,0
2020-04-23,RU-SAM,141,0
2020-04-24,RU-SAM,185,0
2020-04-25,RU-SAM,209,0
2020-04-26,RU-SAM,229,2
2020-04-20,RU-SAR,142,0
2020-04-21,RU-SAR,168,0
2020-04-22,RU-SAR,190,0
2020-04-23,RU-SAR,229,0
2020-04-24,RU-SAR,245,0
2020-04-25,RU-SAR,265,2
2020-04-26,RU-SAR,305,2
2020-04-20,RU-SE,145,2
2020-04-21,RU-SE,177,2
2020-04-22,RU-SE,211,2
2020-04-23,RU-SE,242,2
2020-04-24,RU-SE,275,2
2020-04-25,RU-SE,305,2
2020-04-26,RU-SE,348,2
2020-04-20,RU-SMO,189,2
2020-04-21,RU-SMO,208,2
2020-04-22,RU-SMO,244,2
2020-04-23,RU-SMO,251,2
2020-04-24,RU-SMO,262,2
2020-04-25,RU-SMO,279,2
2020-04-26,RU-SMO,289,2
2020-04-20,RU-SPE,1846,8
2020-04-21,RU-SPE,1973,11
2020-04-22,RU-SPE,2267,14
2020-04-23,RU-SPE,2458,17
2020-04-24,RU-SPE,2711,20
2020-04-25,RU-SPE,2926,23
2020-04-26,RU-SPE,3077,27
2020-04-20,RU-STA,244,3
2020-04-21,RU-STA,266,4
2020-04-22,RU-STA,277,5
2020-04-23,RU-STA,332,5
2020-04-24,RU-STA,358,5
2020-04-25,RU-STA,385,5
2020-04-26,RU-STA,421,6
2020-04-20,RU-SVE,149,1
2020-04-21,RU-SVE,233,1
2020-04-22,RU-SVE,243,1
2020-04-23,RU-SVE,271,1
2020-04-24,RU-SVE,304,1
2020-04-25,RU-SVE,337,1
2020-04-26,RU-SVE,395,1
2020-04-20,RU-TA,230,0
2020-04-21,RU-TA,280,0
2020-04-22,RU-TA,355,0
2020-04-23,RU-TA,412,0
2020-04-24,RU-TA,426,0
2020-04-25,RU-TA,491,0
2020-04-26,RU-TA,562,0
2020-04-20,RU-TAM,209,0
2020-04-21,RU-TAM,222,0
2020-04-22,RU-TAM,240,0
2020-04-23,RU-TAM,263,0
2020-04-24,RU-TAM,298,0
2020-04-25,RU-TAM,343,1
2020-04-26,RU-TAM,399,1
2020-04-20,RU-TOM,33,0
2020-04-21,RU-TOM,37,0
2020-04-22,RU-TOM,43,0
2020-04-23,RU-TOM,52,0
2020-04-24,RU-TOM,59,0
2020-04-25,RU-TOM,66,0
2020-04-26,RU-TOM,67,0
2020-04-20,RU-TUL,309,0
2020-04-21,RU-TUL,384,1
2020-04-22,RU-TUL,436,2
2020-04-23,RU-TUL,461,3
2020-04-24,RU-TUL,505,3
2020-04-25,RU-TUL,578,4
2020-04-26,RU-TUL,644,5
2020-04-20,RU-TVE,296,0
2020-04-21,RU-TVE,329,0
2020-04-22,RU-TVE,356,0
2020-04-23,RU-TVE,383,0
2020-04-24,RU-TVE,412,0
2020-04-25,RU-TVE,441,0
2020-04-26,RU-TVE,464,1
2020-04-20,RU-TY,13,0
2020-04-21,RU-TY,13,0
2020-04-22,RU-TY,13,0
2020-04-23,RU-TY,14,0
2020-04-24,RU-TY,15,0
2020-04-25,RU-TY,24,0
2020-04-26,RU-TY,27,0
2020-04-20,RU-TYU,254,2
2020-04-21,RU-TYU,290,2
2020-04-22,RU-TYU,319,2
2020-04-23,RU-TYU,341,2
2020-04-24,RU-TYU,357,2
2020-04-25,RU-TYU,374,3
2020-04-26,RU-TYU,386,3
2020-04-20,RU-UD,92,3
2020-04-21,RU-UD,118,3
2020-04-22,RU-UD,152,3
2020-04-23,RU-UD,161,3
2020-04-24,RU-UD,178,4
2020-04-25,RU-UD,193,4
2020-04-26,RU-UD,202,4
2020-04-20,RU-ULY,187,2
2020-04-21,RU-ULY,187,2
2020-04-22,RU-ULY,196,2
2020-04-23,RU-ULY,228,2
2020-04-24,RU-ULY,253,3
2020-04-25,RU-ULY,280,3
2020-04-26,RU-ULY,307,3
2020-04-20,RU-VGG,111,1
2020-04-21,RU-VGG,134,1
2020-04-22,RU-VGG,145,2
2020-04-23,RU-VGG,165,2
2020-04-24,RU-VGG,186,3
2020-04-25,RU-VGG,212,5
2020-04-26,RU-VGG,242,6
2020-04-20,RU-VLA,259,5
2020-04-21,RU-VLA,280,5
2020-04-22,RU-VLA,293,5
2020-04-23,RU-VLA,339,5
2020-04-24,RU-VLA,381,5
2020-04-25,RU-VLA,426,5
2020-04-26,RU-VLA,475,5
2020-04-20,RU-VLG,100,0
2020-04-21,RU-VLG,107,0
2020-04-22,RU-VLG,114,0
2020-04-23,RU-VLG,120,0
2020-04-24,RU-VLG,129,0
2020-04-25,RU-VLG,138,0
2020-04-26,RU-VLG,145,0
2020-04-20,RU-VOR,180,5
2020-04-21,RU-VOR,211,6
2020-04-22,RU-VOR,236,7
2020-04-23,RU-VOR,261,7
2020-04-24,RU-VOR,291,7
2020-04-25,RU-VOR,313,8
2020-04-26,RU-VOR,338,8
2020-04-20,RU-YAN,140,1
2020-04-21,RU-YAN,146,1
2020-04-22,RU-YAN,149,1
2020-04-23,RU-YAN,243,1
2020-04-24,RU-YAN,266,1
2020-04-25,RU-YAN,303,1
2020-04-26,RU-YAN,348,1
2020-04-20,RU-YAR,144,0
2020-04-21,RU-YAR,187,0
2020-04-22,RU-YAR,198,0
2020-04-23,RU-YAR,263,1
2020-04-24,RU-YAR,305,2
2020-04-25,RU-YAR,342,2
2020-04-26,RU-YAR,384,2
2020-04-20,RU-YEV,22,0
2020-04-21,RU-YEV,43,0
2020-04-22,RU-YEV,52,0
2020-04-23,RU-YEV,66,0
2020-04-24,RU-YEV,80,0
2020-04-25,RU-YEV,86,0
2020-04-26,RU-YEV,86,0
2020-04-20,RU-ZAB,43,0
2020-04-21,RU-ZAB,50,0
2020-04-22,RU-ZAB,61,0
2020-04-23,RU-ZAB,64,0
2020-04-24,RU-ZAB,73,0
2020-04-25,RU-ZAB,83,0
2020-04-26,RU-ZAB,90,0
2020-04-20,UA-40,17,0
2020-04-21,UA-40,18,0
2020-04-22,UA-40,19,0
2020-04-23,UA-40,25,0
2020-04-24,UA-40,25,0
2020-04-25,UA-40,26,0
2020-04-26,UA-40,31,0
2020-04-20,UA-43,45,0
2020-04-21,UA-43,46,0
2020-04-22,UA-43,46,0
2020-04-23,UA-43,51,0
2020-04-24,UA-43,53,0
2020-04-25,UA-43,57,0
2020-04-26,UA-43,67,0
