Country,Place,Start date,End date,Level
Algeria,Algiers,2020-03-23,2020-04-14,City
Algeria,Blida,2020-03-23,2020-04-14,City
Argentina,,2020-03-19,2020-04-12,National
Australia,,2020-03-23,2020-04-24,National
Austria,,2020-03-16,2020-04-13,National
Azerbaijan,,2020-03-31,2020-04-20,National
Belgium,,2020-03-18,2020-04-18,National
Bolivia,,2020-03-22,2020-04-14,National
Botswana,,2020-04-02,2020-04-30,National
Brazil,Santa Catarina,2020-03-17,2020-04-08,State
Brazil,Ṣo Paulo,2020-03-24,2020-04-07,State
Chile,,2020-03-19,2020-04-14,National
Colombia,,2020-03-25,2020-04-13,National
Republic of the Congo,,2020-03-31,2020-04-20,National
Costa Rica,,2020-03-23,2020-04-13,National
Croatia,Murter,2020-03-25,2020-04-13,Municipality
Cuba,,2020-03-23,2020-04-19,National
Czech Republic,,2020-03-16,2020-04-12,National
Denmark,,2020-03-11,2020-04-13,National
Dominican Republic,,2020-03-19,2020-04-03,National
Ecuador,,2020-03-16,2020-03-31,National
El Salvador,,2020-03-12,2020-04-01,National
Eritrea,,2020-04-02,2020-04-23,National
Fiji,Lautoka,2020-03-20,2020-04-10,City
Fiji,Suva,2020-04-03,2020-04-14,City
Finland,Uusimaa,2020-03-27,2020-04-14,Region
France,,2020-03-17,2020-04-15,National
Germany,Bavaria,2020-03-20,2020-04-03,State
Germany,"Freiburg, BW",2020-03-21,2020-04-03,City
Ghana,Accra,2020-03-30,2020-04-14,Metropolitan Area
Ghana,Kumasi,2020-03-30,2020-04-14,Metropolitan Area
Greece,,2020-03-23,2020-04-06,National
Honduras,,2020-03-17,2020-04-12,National
Hungary,,2020-03-28,2020-04-11,National
India,,2020-03-25,2020-04-15,National
Indonesia,Tegal,2020-03-26,2020-07-25,City
Iraq,,2020-03-22,2020-04-11,National
Ireland,,2020-03-12,2020-04-12,National
Israel,Bnei Brak,2020-04-02,2020-04-15,City
Italy,,2020-03-09,2020-04-13,National
Jordan,,2020-03-21,2020-04-12,National
Kuwait,,2020-03-14,2020-03-29,National
Lebanon,,2020-03-15,2020-03-29,National
Liberia,Margibi,2020-03-23,2020-04-14,County
Liberia,Montserrado,2020-03-23,2020-04-14,County
Libya,,2020-03-22,2020-04-20,National
Lithuania,,2020-03-16,2020-04-13,National
Madagascar,Antananarivo,2020-03-23,2020-04-12,City
Madagascar,Toamasina,2020-03-23,2020-04-12,City
Malaysia,,2020-03-18,2020-04-14,National
Montenegro,Tuzi,2020-03-24,2020-04-14,Municipality
Morocco,,2020-03-19,2020-04-20,National
Nepal,,2020-03-24,2020-04-07,National
Netherlands,,2020-03-16,2020-04-28,National
New Zealand,,2020-03-26,2020-04-19,National
Nigeria,Abuja,2020-03-30,2020-04-14,City
Nigeria,Lagos,2020-03-30,2020-04-14,City
Nigeria,Ogun,2020-03-30,2020-04-14,State
Northern Cyprus,,2020-03-30,2020-04-03,National
Norway,,2020-03-12,2020-04-13,National
Oman,Muttrah,2020-04-01,2020-04-18,District
Pakistan,Azad Kashmir,2020-03-24,2020-04-14,Administrative
Panama,,2020-03-25,2020-04-13,National
Papua New Guinea,,2020-03-24,2020-04-13,National
Paraguay,,2020-03-20,2020-04-12,National
Peru,,2020-03-16,2020-04-11,National
Philippines,Cebu,2020-03-27,2020-04-14,Province
Philippines,Davao Region,2020-03-19,2020-04-14,Region
Philippines,Luzon,2020-03-15,2020-04-14,Island group
Philippines,Soccsksargen,2020-03-23,2020-04-14,Region
Poland,,2020-03-13,2020-04-12,National
Portugal,,2020-03-19,2020-04-02,National
Qatar,Doha Industrial Area,2020-03-11,2020-04-13,Industrial park
Romania,,2020-03-25,2020-04-14,National
Russia,Moscow,2020-03-30,2020-04-12,Metropolitan area
Rwanda,,2020-03-21,2020-04-12,National
Samoa,,2020-03-26,2020-04-09,National
Saudi Arabia,Jeddah,2020-03-29,2020-04-14,City
Saudi Arabia,Mecca,2020-03-26,2020-04-14,City
Saudi Arabia,Medina,2020-03-26,2020-04-14,City
Saudi Arabia,Qatif,2020-03-09,2020-04-14,Area
Saudi Arabia,Riyadh,2020-03-26,2020-04-14,City
Singapore,,2020-04-07,2020-05-04,National
South Africa,,2020-03-26,2020-04-16,National
Spain,,2020-03-14,2020-04-25,National
Thailand,,2020-03-25,2020-04-30,National
Tunisia,,2020-03-22,2020-04-11,National
United Arab Emirates,,2020-03-26,2020-03-30,National
United Kingdom,,2020-03-24,2020-04-13,National
United States,California,2020-03-19,2020-03-29,State
United States,"Clark County, NV",2020-03-20,2020-04-20,County
United States,Connecticut,2020-03-23,2020-03-29,State
United States,Illinois,2020-03-21,2020-04-07,State
United States,"Kansas City, KS",2020-03-24,2020-04-23,City
United States,Massachusetts,2020-03-24,2020-04-07,State
United States,Michigan,2020-03-24,2020-04-14,State
United States,New York,2020-03-20,2020-03-29,State
United States,Oregon,2020-03-24,2020-04-14,State
United States,Wisconsin,2020-03-24,2020-04-24,State
Venezuela,,2020-03-17,2020-04-19,National
Zimbabwe,,2020-03-30,2020-04-12,National
